"Anos","state_names","Consumo","","","","",""
"2006","Rio Grande do Sul","22696","","","","",""
"2007","Rio Grande do Sul","23785","","","","",""
"2008","Rio Grande do Sul","24707","","","","",""
"2009","Rio Grande do Sul","24444","","","","",""
"2010","Rio Grande do Sul","26229","","","","",""
"2011","Rio Grande do Sul","27630","","","","",""
"2012","Rio Grande do Sul","28111","","","","",""
"2013","Rio Grande do Sul","28956","","","","",""
"2014","Rio Grande do Sul","30638","","","","",""
"2015","Rio Grande do Sul","29245","","","","",""
"2016","Rio Grande do Sul","29521","","","","",""
"2017","Rio Grande do Sul","29927","","","","",""
"2018","Rio Grande do Sul","30418","","","","",""
"2019","Rio Grande do Sul","30426","","","","",""
"2004","Rondonia","1345","","","","",""
"2005","Rondonia","1439","","","","",""
"2006","Rondonia","1524","","","","",""
"2007","Rondonia","1634","","","","",""
"2008","Rondonia","1750","","","","",""
"2009","Rondonia","1914","","","","",""
"2010","Rondonia","2185","","","","",""
"2011","Rondonia","2378","","","","",""
"2012","Rondonia","2826","","","","",""
"2013","Rondonia","2930","","","","",""
"2014","Rondonia","3032","","","","",""
"2015","Rondonia","3033","","","","",""
"2016","Rondonia","2944","","","","",""
"2017","Rondonia","3067","","","","",""
"2018","Rondonia","3153","","","","",""
"2019","Rondonia","3248","","","","",""
"2004","Roraima","370","","","","",""
"2005","Roraima","380","","","","",""
"2006","Roraima","382","","","","",""
"2007","Roraima","425","","","","",""
"2008","Roraima","450","","","","",""
"2009","Roraima","491","","","","",""
"2010","Roraima","543","","","","",""
"2011","Roraima","587","","","","",""
"2012","Roraima","662","","","","",""
"2013","Roraima","705","","","","",""
"2014","Roraima","802","","","","",""
"2015","Roraima","883","","","","",""
"2016","Roraima","915","","","","",""
"2017","Roraima","918","","","","",""
"2018","Roraima","942","","","","",""
"2019","Roraima","931","","","","",""
"2004","Santa Catarina","14498","","","","",""
"2005","Santa Catarina","15172","","","","",""
"2006","Santa Catarina","15724","","","","",""
"2007","Santa Catarina","16880","","","","",""
"2008","Santa Catarina","17582","","","","",""
"2009","Santa Catarina","17180","","","","",""
"2010","Santa Catarina","18350","","","","",""
"2011","Santa Catarina","20286","","","","",""
"2012","Santa Catarina","21589","","","","",""
"2013","Santa Catarina","22408","","","","",""
"2014","Santa Catarina","23794","","","","",""
"2015","Santa Catarina","23049","","","","",""
"2016","Santa Catarina","23307","","","","",""
"2017","Santa Catarina","24344","","","","",""
"2018","Santa Catarina","24935","","","","",""
"2019","Santa Catarina","26071","","","","",""
"2004","Sao Paulo","100149","","","","",""
"2005","Sao Paulo","103907","","","","",""
"2006","Sao Paulo","109148","","","","",""
"2007","Sao Paulo","115459","","","","",""
"2008","Sao Paulo","118960","","","","",""
"2009","Sao Paulo","118182","","","","",""
"2010","Sao Paulo","125505","","","","",""
"2011","Sao Paulo","130282","","","","",""
"2012","Sao Paulo","133742","","","","",""
"2013","Sao Paulo","136244","","","","",""
"2014","Sao Paulo","136482","","","","",""
"2015","Sao Paulo","130815","","","","",""
"2016","Sao Paulo","127171","","","","",""
"2017","Sao Paulo","129607","","","","",""
"2018","Sao Paulo","132435","","","","",""
"2019","Sao Paulo","132848","","","","",""
"2004","Sergipe","2366","","","","",""
"2005","Sergipe","2543","","","","",""
"2006","Sergipe","2663","","","","",""
"2007","Sergipe","2781","","","","",""
"2008","Sergipe","2930","","","","",""
"2009","Sergipe","3066","","","","",""
"2010","Sergipe","3295","","","","",""
"2011","Sergipe","3474","","","","",""
"2012","Sergipe","3622","","","","",""
"2013","Sergipe","3825","","","","",""
"2014","Sergipe","3881","","","","",""
"2015","Sergipe","3847","","","","",""
"2016","Sergipe","3784","","","","",""
"2017","Sergipe","3668","","","","",""
"2018","Sergipe","3748","","","","",""
"2019","Sergipe","3705","","","","",""
"2004","Tocantins","883","","","","",""
"2005","Tocantins","932","","","","",""
"2006","Tocantins","964","","","","",""
"2007","Tocantins","1056","","","","",""
"2008","Tocantins","1136","","","","",""
"2009","Tocantins","1219","","","","",""
"2010","Tocantins","1426","","","","",""
"2011","Tocantins","1503","","","","",""
"2012","Tocantins","1612","","","","",""
"2013","Tocantins","1817","","","","",""
"2014","Tocantins","1948","","","","",""
"2015","Tocantins","2075","","","","",""
"2016","Tocantins","2178","","","","",""
"2017","Tocantins","2232","","","","",""
"2018","Tocantins","2308","","","","",""
"2019","Tocantins","2418","","","","",""
"2004","Brasil","331449","","","","",""
"2005","Brasil","344879","","","","",""
"2006","Brasil","355625","","","","",""
"2007","Brasil","376489","","","","",""
"2008","Brasil","387890","","","","",""
"2009","Brasil","383685","","","","",""
"2010","Brasil","414995","","","","",""
"2011","Brasil","432287","","","","",""
"2012","Brasil","447304","","","","",""
"2013","Brasil","462298","","","","",""
"2014","Brasil","473937","","","","",""
"2015","Brasil","465013","","","","",""
"2016","Brasil","461055","","","","",""
"2017","Brasil","466400","","","","",""
"2018","Brasil","474258","","","","",""
"2019","Brasil","481185","","","","",""
